Tendências,Volume de pesquisa,Tempo
"illinois vs ohio state","1000+","há 14 minutos"
"sam houston vs texas tech","500+","há 14 minutos"
"diana  princess of wales","5000+","há 14 minutos"
"peyton manning","1000+","há 34 minutos"
"coastal flooding","10000+","há 44 minutos"
"luis arráez","100+","há 44 minutos"
"colin kaepernick","2000+","há 54 minutos"
"lincoln kienholz","1000+","há 54 minutos"
"shaheen jafargholi heated rivalry season 2","500+","há 54 minutos"
"republicans fear two key senate races are slipping from their grasp","2000+","há 1 hora"
