Termo,Volume_Texto
erika januza e arlindinho,5000+
colisão,100+
passagens aereas,100+
m,100+
jared leto,100+
frei gilson,200+
frente fria,2000+
pesquisa lula flávio bolsonaro,500+
de,100+
tinder,100+
